         150678 function calls (140598 primitive calls) in 0.584 CPU seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 sre_parse.py:222(isname)
      330    0.000    0.000    0.000    0.000 copy.py:261(_keep_alive)
   112/92    0.000    0.000    0.040    0.000 parser.py:297(parse_expression)
  125/105    0.000    0.000    0.036    0.000 parser.py:369(parse_sub)
      124    0.000    0.000    0.000    0.000 util.py:39(__getattr__)
       71    0.000    0.000    0.000    0.000 where.py:125(make_atom)
     1169    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       20    0.000    0.000    0.016    0.001 models.py:183(raw_rating)
       21    0.000    0.000    0.020    0.001 memcached.py:24(get)
       11    0.000    0.000    0.000    0.000 __init__.py:673(get_internal_type)
       72    0.000    0.000    0.000    0.000 copy.py:197(_deepcopy_atomic)
        5    0.000    0.000    0.000    0.000 safestring.py:89(mark_safe)
       28    0.000    0.000    0.008    0.000 parser.py:632(parse_call)
       21    0.000    0.000    0.000    0.000 memcache.py:847(_get_socket)
       55    0.000    0.000    0.016    0.000 query.py:175(_result_iter)
        1    0.000    0.000    0.000    0.000 socket.py:180(__init__)
       71    0.000    0.000    0.000    0.000 __init__.py:167()
        1    0.000    0.000    0.000    0.000 util.py:5(flatatt)
       40    0.000    0.000    0.056    0.001 query.py:298(get)
        6    0.000    0.000    0.000    0.000 loaders.py:20(split_template_path)
        1    0.000    0.000    0.000    0.000 unicode_escape.py:13(Codec)
      100    0.000    0.000    0.000    0.000 __init__.py:171(get_cache_name)
        6    0.000    0.000    0.000    0.000 {method 'read' of 'file' objects}
        1    0.000    0.000    0.000    0.000 unicode_escape.py:28(StreamWriter)
     10/6    0.000    0.000    0.012    0.002 parser.py:149(parse_block)
       71    0.000    0.000    0.000    0.000 __init__.py:121(db_type)
      366    0.000    0.000    0.000    0.000 {method 'iteritems' of 'dict' objects}
  125/105    0.000    0.000    0.032    0.000 parser.py:409(parse_floordiv)
      105    0.000    0.000    0.000    0.000 sre_parse.py:144(append)
        2    0.000    0.000    0.000    0.000 runtime.py:290(__init__)
        2    0.000    0.000    0.000    0.000 forms.py:208(full_clean)
        4    0.000    0.000    0.000    0.000 html.py:35(conditional_escape)
        6    0.000    0.000    0.000    0.000 pkg_resources.py:1128(has_resource)
       28    0.000    0.000    0.028    0.001 nodes.py:141(find)
        7    0.000    0.000    0.000    0.000 utils.py:596(__setitem__)
        6    0.000    0.000    0.000    0.000 ext.py:77(filter_stream)
        2    0.000    0.000    0.000    0.000 runtime.py:253(__iter__)
        8    0.000    0.000    0.000    0.000 sre_compile.py:24(_identityfunction)
        8    0.000    0.000    0.000    0.000 sre_compile.py:367(_compile_info)
        3    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      515    0.000    0.000    0.000    0.000 lexer.py:197(next_if)
       10    0.000    0.000    0.000    0.000 compiler.py:298(visit_Block)
       16    0.000    0.000    0.000    0.000 sre_compile.py:213(_optimize_charset)
        5    0.000    0.000    0.000    0.000 environment.py:641(new_context)
        8    0.000    0.000    0.008    0.001 sre_compile.py:486(_code)
        1    0.000    0.000    0.000    0.000 {_mysql.get_client_info}
        2    0.000    0.000    0.000    0.000 fields.py:130(__deepcopy__)
        2    0.000    0.000    0.000    0.000 query.py:1560(add_ordering)
       62    0.000    0.000    0.004    0.000 query.py:406(pre_sql_setup)
        8    0.000    0.000    0.000    0.000 related.py:158(_get_related_query_name)
        1    0.000    0.000    0.000    0.000 fields.py:111(clean)
        4    0.000    0.000    0.000    0.000 compiler.py:291(visit_CallBlock)
       18    0.000    0.000    0.000    0.000 posixpath.py:59(join)
        2    0.000    0.000    0.000    0.000 datastructures.py:188(__init__)
       21    0.000    0.000    0.000    0.000 memcache.py:899(expect)
        8    0.000    0.000    0.000    0.000 compiler.py:1326(visit_Getitem)
        7    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'autocommit' of '_mysql.connection' objects}
        4    0.000    0.000    0.000    0.000 loading.py:131(get_models)
       62    0.000    0.000    0.000    0.000 cursors.py:72(_warning_check)
        2    0.000    0.000    0.000    0.000 {method 'get' of 'dictproxy' objects}
       62    0.000    0.000    0.012    0.000 cursors.py:282(_fetch_row)
        1    0.000    0.000    0.000    0.000 __init__.py:139(__init__)
       18    0.000    0.000    0.000    0.000 sre_compile.py:360(_simple)
        1    0.000    0.000    0.000    0.000 forms.py:247(clean)
        4    0.000    0.000    0.004    0.001 parser.py:235(parse_call_block)
        5    0.000    0.000    0.000    0.000 forms.py:122(add_prefix)
        6    0.000    0.000    0.000    0.000 lexer.py:180(push)
        1    0.000    0.000    0.000    0.000 forms.py:329(__unicode__)
        2    0.000    0.000    0.000    0.000 lexer.py:85(__init__)
      230    0.000    0.000    0.000    0.000 {iter}
        1    0.000    0.000    0.000    0.000 connections.py:270(set_character_set)
      611    0.000    0.000    0.000    0.000 query.py:134(quote_name_unless_alias)
        1    0.000    0.000    0.000    0.000 base.html:1()
        6    0.000    0.000    0.000    0.000 pkg_resources.py:1125(get_resource_string)
       72    0.000    0.000    0.000    0.000 query_utils.py:30(__init__)
       10    0.000    0.000    0.000    0.000 compiler.py:222(visit_Block)
